,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-East,North-West,South-West,East,North,South-East,West,South
2019-05-04,4.443749999999998,93.92361111111111,2.781944444444446,15.11527777777778,20.97986111111111,36.44444444444444,21.23333333333333,20.71875,,,,3.7409722222222217,3.0131944444444456,1181.6180555555557,0.0,1,0,0,0,0,0,0,0
2019-05-05,3.7208333333333323,131.80555555555554,2.4819444444444443,12.504861111111108,23.50555555555556,39.729166666666664,23.76944444444445,23.261111111111106,,,,3.15625,2.672222222222222,1166.3125,0.0,0,1,0,0,0,0,0,0
2019-05-06,4.625874125874123,187.53146853146853,2.94125874125874,17.585314685314685,29.523076923076932,18.153846153846153,29.8013986013986,29.236363636363638,,,,3.9517482517482505,3.339160839160839,1160.3776223776224,0.0,0,1,0,0,0,0,0,0
2019-05-07,5.769444444444443,125.77777777777777,3.7666666666666675,13.652083333333335,23.408333333333335,40.65972222222222,23.630555555555546,23.20763888888889,,,,4.856944444444446,4.044444444444445,1182.2152777777778,0.0,0,1,0,0,0,0,0,0
2019-05-08,4.981944444444445,113.15277777777777,3.0180555555555557,18.55069444444443,20.93819444444445,36.30555555555556,21.18402777777778,20.708333333333343,,,,4.181249999999998,3.322222222222221,1165.1805555555557,0.0,0,1,0,0,0,0,0,0
2019-05-09,4.4,113.38129496402878,2.5992805755395683,20.132374100719424,20.006474820143886,44.172661870503596,20.243165467625904,19.799999999999997,,,,3.600719424460431,2.8956834532374107,1156.1870503597122,0.0,0,1,0,0,0,0,0,0
2019-05-10,3.7055555555555557,110.31944444444444,2.2416666666666654,20.174305555555556,20.259027777777774,38.31944444444444,20.50555555555556,20.044444444444444,,,,3.131249999999999,2.5083333333333333,1182.8125,0.0,0,1,0,0,0,0,0,0
2019-05-11,3.984027777777779,97.17361111111111,2.604861111111111,9.87638888888889,22.053472222222226,35.74305555555556,22.316666666666666,21.80416666666668,,,,3.3340277777777776,2.7986111111111125,1183.2430555555557,0.0,1,0,0,0,0,0,0,0
2019-05-12,3.618055555555553,127.45833333333333,2.2965277777777775,13.650694444444435,25.559027777777786,22.51388888888889,25.838888888888867,25.290277777777774,,,,3.0944444444444446,2.5243055555555554,1181.701388888889,0.0,0,1,0,0,0,0,0,0
2019-05-13,4.040972222222222,143.01388888888889,2.6763888888888894,12.680555555555555,28.197222222222226,19.98611111111111,28.474999999999998,27.936111111111092,,,,3.4875,2.936111111111112,1182.5972222222222,0.0,0,1,0,0,0,0,0,0
2019-05-14,4.365972222222222,130.74305555555554,2.9277777777777776,12.09583333333333,29.036111111111122,17.45138888888889,29.336805555555557,28.755555555555564,,,,3.7423611111111117,3.144444444444445,1165.125,0.0,0,1,0,0,0,0,0,0
2019-05-15,3.2784722222222213,158.70833333333334,2.0159722222222225,20.428472222222226,30.31874999999999,15.680555555555555,30.622916666666665,30.016666666666666,,,,2.7993055555555544,2.281250000000001,1182.576388888889,0.0,0,1,0,0,0,0,0,0
2019-05-16,3.890972222222222,127.5,2.6083333333333343,12.030555555555555,30.64722222222224,19.493055555555557,30.924305555555552,30.381944444444443,,,,3.348611111111111,2.8277777777777784,1181.9930555555557,0.0,0,1,0,0,0,0,0,0
2019-05-17,5.434722222222223,181.70138888888889,3.6611111111111114,14.956250000000002,30.64583333333334,21.90972222222222,30.93819444444445,30.39236111111113,,,,4.611805555555555,3.9388888888888878,1181.3472222222222,0.0,0,0,1,0,0,0,0,0
2019-05-18,4.103472222222219,138.91666666666666,2.5402777777777783,16.788888888888902,26.87500000000001,26.23611111111111,27.144444444444442,26.620138888888892,,,,3.51111111111111,2.847222222222223,1181.125,0.0,0,1,0,0,0,0,0,0
2019-05-19,4.909722222222221,140.76388888888889,3.2124999999999995,11.99583333333333,26.017361111111107,23.868055555555557,26.294444444444437,25.75902777777777,,,,4.1291666666666655,3.451388888888889,1182.0833333333333,0.0,0,1,0,0,0,0,0,0
2019-05-20,4.569444444444445,96.79861111111111,3.004166666666667,11.98888888888889,25.725694444444436,35.458333333333336,25.979861111111106,25.482638888888882,,,,3.8868055555555534,3.219444444444443,1164.5555555555557,0.0,1,0,0,0,0,0,0,0
2019-05-21,4.194444444444444,105.27083333333333,2.75,12.44722222222222,29.60347222222221,28.76388888888889,29.852777777777778,29.36527777777778,,,,3.5534722222222213,2.9909722222222226,1182.7916666666667,0.0,0,1,0,0,0,0,0,0
2019-05-22,3.895833333333334,118.04166666666667,2.6277777777777778,13.537499999999998,31.856944444444448,19.02777777777778,32.12291666666666,31.611111111111104,,,,3.3499999999999988,2.8409722222222222,1180.548611111111,0.0,0,1,0,0,0,0,0,0
2019-05-23,3.59236111111111,196.375,2.2,19.03263888888889,34.70416666666665,13.208333333333334,35.05902777777778,34.38194444444445,,,,3.090972222222222,2.467361111111112,1182.7222222222222,0.0,0,0,1,0,0,0,0,0
2019-05-24,6.711111111111111,179.93055555555554,4.561805555555557,12.928472222222219,36.56944444444448,10.409722222222221,36.89791666666667,36.247222222222234,,,,5.6944444444444455,4.927083333333333,1181.3402777777778,0.0,0,1,0,0,0,0,0,0
